País,Entidad,Organismo,Departamento/Servicio,Email de contacto,Confianza,Solo formulario (URL),Fuente,Notas,Borrador Gmail creado
España,Andalucía,Agencia de Seguridad y Gestión Integral de Emergencias de Andalucía (ASGIEA),Plan INFOCA / D.G. Emergencias y Lucha contra Incendios Forestales,gerencia.asema@juntadeandalucia.es,Alta,,https://www.juntadeandalucia.es/organismos/ema/areas/incendios-forestales/situacion/incendios-activos.html,Visor en tiempo real es dashboard ArcGIS sin API pública documentada. Datos abiertos solo históricos 1975-2014.,Sí
España,Aragón,Gobierno de Aragón,Dep. Medio Ambiente y Turismo - Servicio de Gestión de Incendios Forestales,incendios@aragon.es,Alta,,https://www.aragon.es/-/sensibilizacion-y-divulgacion-en-prevencion-de-incendios,Dataset abierto solo estadístico anual agregado.,Sí
España,Asturias,Principado de Asturias,Consejería de Medio Rural y Cohesión Territorial (buzón de Transparencia),transparencia@asturias.org,Media (genérico),,https://transparencia.asturias.es/contactar,No existe dataset abierto de incendios. SEPA/112 solo tiene formulario JS.,Sí
España,Cantabria,Gobierno de Cantabria,112 Cantabria,info@soscantabria112.com,Media,,https://112.cantabria.es/contacto/buzon,No hay dataset abierto en tiempo real; solo serie agregada en ICANE.,Sí
España,Extremadura,Junta de Extremadura,D.G. Prevención y Extinción de Incendios Forestales - Plan INFOEX (PREIFEX),preifex@juntaex.es,Media,,https://www.juntaex.es/w/el-infoex-forma-a-agentes-del-medio-natural-y-otros-especialistas-en-prevencion-de-incendios,Alternativa formal: formulario de Solicitud de Información Pública de la Junta.,Sí
España,Galicia,Xunta de Galicia,Consellería do Medio Rural - D.X. Defensa do Monte (SPDCIF),defensadomonte.mediorural@xunta.gal,Alta,,https://www.xunta.gal/es/guia-da-comunicacion/busqueda,Sí existe dataset abierto histórico anual (abertos.xunta.gal). Alternativa prensa: crm.prensa@xunta.gal,Sí
España,Castilla-La Mancha,Junta de Comunidades de Castilla-La Mancha,Consejería de Desarrollo Sostenible (Plan INFOCAM),gabinete.desarrollosostenible@jccm.es,Media,,https://datosabiertos.castillalamancha.es/dataset/informaci%C3%B3n-de-incendios-forestales-en-castilla-la-mancha,Dataset abierto existente pero desactualizado (2019); visor vivo en infocam.castillalamancha.es.,Sí
España,Comunidad de Madrid,Comunidad de Madrid,Agencia de Seguridad y Emergencias Madrid 112 (ASEM112) - Plan INFOMA,prensa@madrid112.es,Media,https://www.comunidad.madrid/formulario-solicitud-reutilizacion-datos-abiertos,https://www.comunidad.madrid/seguridad-emergencias-asem-112,Sin email genérico de reutilización de datos; registro de reutilizadores vía formulario.,Sí
España,Región de Murcia,Comunidad Autónoma de la Región de Murcia (CARM),Buzón de Transparencia (competencia forestal: DG Medio Natural / UDIF - Plan INFOMUR),transparencia@carm.es,Alta,,https://transparencia.carm.es/contacto,Portal datos abiertos: datosabiertos.regiondemurcia.es. No se localizó email de prensa específico de Medio Ambiente.,Sí
España,Navarra,Gobierno de Navarra,Dep. Desarrollo Rural y Medio Ambiente (Bomberos de Navarra / Plan INFONA),agobagri@navarra.es,Media,https://gobiernoabierto.navarra.es/es/open-data/datos/solicitud-de-datasets,https://www.navarra.es/es/bomberos,No se confirmó email exclusivo de incendios forestales.,Sí
España,La Rioja,Gobierno de La Rioja,Consejería de Agricultura / DG Biodiversidad (gestión forestal e incendios),informacion.ambiental@larioja.org,Media,,https://www.larioja.org/medio-ambiente/es/gestion-forestal-incendios,Portal Dato Abierto no publica email propio.,Sí
España,Comunitat Valenciana,Generalitat Valenciana,Portal de Dades Obertes (dades) + Gabinet de Comunicació Medi Ambient (prensa),dadesobertes@gva.es,Alta (verificado),,https://portaldadesobertes.gva.es/es/contacte,Contacto mejor verificado del listado. CC sugerido: premsa_mediambient@gva.es,Sí
España,País Vasco (Gobierno Vasco),Eusko Jaurlaritza / Gobierno Vasco,Dep. Seguridad - SOS-Deiak 112,Sin email publicado,Baja,https://www.euskadi.eus/y22-izapide/es/x43kToolkitWar/form/fdp?procedureId=1013901,https://opendata.euskadi.eus/general/-/solicitud-de-datos-abiertos/,"Gestión operativa forestal es competencia foral, no del Gobierno Vasco. Pendiente: enviar por formulario de datos abiertos.",No (solo formulario)
España,Diputación Foral de Álava,Diputación Foral de Álava,Bomberos Forales de Álava (Arabako Suhiltzaileak),egoitza.sede@araba.eus,Baja (genérico),https://suhiltzaileak.araba.eus/es/formulario-de-contacto,https://suhiltzaileak.araba.eus/es/,Sin email específico de bomberos publicado.,Sí
España,Diputación Foral de Gipuzkoa,Diputación Foral de Gipuzkoa,Servicio Foral de Bomberos/as (SPEIS Gipuzkoa),suhiltzaileak@gipuzkoa.eus,Alta,,https://www.gipuzkoa.eus/es/web/suhiltzaileak/servicio-en-actualidad/contacto,Mejor contacto operativo de las 3 diputaciones forales.,Sí
España,Diputación Foral de Bizkaia,Diputación Foral de Bizkaia,Servicio de Prevención Extinción de Incendios y Salvamento (SPEIS Bizkaia),bomberos@bizkaia.eus,Media,,https://www.opendatabizkaia.eus/es/catalogo/intervenciones-speis,Dataset de intervenciones SPEIS ya publicado en open data Bizkaia (buen precedente).,Sí
